City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
63,Albany,US,42.6001,-73.9662,58.35,72,64,1.01,broken clouds
64,Avarua,CK,-21.2078,-159.775,78.85,94,100,20.71,light rain
65,La Ronge,CA,55.1001,-105.2842,30.42,93,100,12.66,overcast clouds
66,Butaritari,KI,3.0707,172.7902,81.37,76,16,11.7,light rain
67,Barrow,US,71.2906,-156.7887,21.22,93,100,10.36,mist
68,Poum,NC,-20.2333,164.0167,77.13,82,2,16.24,clear sky
69,Jamestown,US,42.097,-79.2353,57.94,78,100,7.0,overcast clouds
70,Sao Filipe,CV,14.8961,-24.4956,73.56,74,2,14.23,clear sky
71,Codrington,AU,-38.2667,141.9667,55.63,86,99,10.74,overcast clouds
72,Ewa Beach,US,21.3156,-158.0072,75.15,78,100,6.91,light rain
73,Tiksi,RU,71.6872,128.8694,9.05,97,97,5.35,overcast clouds
74,Havoysund,NO,70.9963,24.6622,30.43,56,100,12.88,light snow
75,Kununurra,AU,-15.7667,128.7333,73.38,78,0,0.0,clear sky
76,Kaitangata,NZ,-46.2817,169.8464,49.59,82,17,4.07,few clouds
77,Mar Del Plata,AR,-38.0023,-57.5575,57.94,53,0,8.01,clear sky
78,Port Alfred,ZA,-33.5906,26.891,70.18,89,29,4.0,scattered clouds
79,Fortuna,US,40.5982,-124.1573,47.32,91,0,3.44,clear sky
80,Asau,RO,46.4333,26.4,63.95,38,100,6.35,overcast clouds
81,Kiama,AU,-34.6833,150.8667,63.57,83,0,6.17,clear sky
82,Port Elizabeth,ZA,-33.918,25.5701,74.1,90,100,5.01,overcast clouds
83,Lorengau,PG,-2.0226,147.2712,80.67,80,99,3.44,overcast clouds
84,Bambanglipuro,ID,-7.95,110.2833,79.38,89,93,8.41,overcast clouds
85,Lasa,IT,46.6166,10.7002,63.7,85,93,1.79,overcast clouds
86,Vila,PT,42.0304,-8.1588,61.68,50,71,4.36,broken clouds
87,Lazaro Cardenas,MX,17.9583,-102.2,82.54,34,100,1.19,overcast clouds
88,Novaya Igirma,RU,57.1334,103.9112,34.61,81,67,9.28,broken clouds
89,Coihaique,CL,-45.5752,-72.0662,45.39,98,100,6.51,moderate rain
90,Acapulco,MX,16.8634,-99.8901,84.87,46,98,4.68,overcast clouds
91,Port Lincoln,AU,-34.7333,135.8667,57.88,77,44,16.11,scattered clouds
92,Thompson,CA,55.7435,-97.8558,22.33,85,100,7.29,overcast clouds
93,Hermanus,ZA,-34.4187,19.2345,72.81,76,2,12.08,clear sky
94,Tasiilaq,GL,65.6145,-37.6368,30.36,80,100,7.38,overcast clouds
95,Xinxiang,CN,35.3089,113.8672,68.49,28,0,7.72,clear sky
96,Havelock,US,34.8791,-76.9013,83.95,76,99,7.0,overcast clouds
97,Plettenberg Bay,ZA,-34.0527,23.3716,66.67,83,89,2.39,overcast clouds
98,Skibbereen,IE,51.55,-9.2667,60.12,68,78,7.7,broken clouds
99,Bonthe,SL,7.5264,-12.505,88.07,60,100,8.32,light rain
100,Saint-Philippe,RE,-21.3585,55.7679,76.59,82,66,11.92,broken clouds
101,Ulladulla,AU,-35.35,150.4667,57.74,74,0,6.93,clear sky
102,San Patricio,US,28.017,-97.5169,82.29,68,11,15.86,few clouds
103,Buala,SB,-8.145,159.5921,79.99,76,36,4.65,scattered clouds
104,Wyndham,US,37.6985,-77.6125,72.21,59,77,4.34,broken clouds
105,Rudsar,IR,37.1376,50.288,60.69,83,100,2.93,overcast clouds
106,Torbay,CA,47.6666,-52.7314,47.28,76,83,8.01,broken clouds
107,Avera,US,33.194,-82.5271,81.55,60,99,7.63,overcast clouds
108,Kargopol,RU,61.5071,38.9456,40.93,65,53,12.95,broken clouds
109,Atar,MR,20.5169,-13.0499,102.04,8,0,15.26,clear sky
110,Lebu,CL,-37.6167,-73.65,55.98,69,7,14.76,clear sky
111,Banda Aceh,ID,5.5577,95.3222,77.4,95,100,13.4,moderate rain
112,Abu Samrah,SY,35.3029,37.1841,86.13,20,21,9.33,few clouds
113,Dikson,RU,73.5069,80.5464,16.25,95,99,2.13,overcast clouds
114,Nanortalik,GL,60.1432,-45.2371,35.38,85,100,4.56,overcast clouds
115,Victoria,HK,22.2855,114.1577,74.32,68,37,8.99,scattered clouds
116,Manokwari,ID,-0.8667,134.0833,79.07,85,93,5.77,overcast clouds
117,Udachnyy,RU,66.4167,112.4,22.93,90,100,11.97,overcast clouds
118,Anton Lizardo,MX,19.05,-95.9833,85.21,69,78,5.75,broken clouds
119,Adrar,MR,20.5022,-10.0711,100.31,9,58,14.52,broken clouds
120,La Palma,US,33.8464,-118.0467,64.33,80,75,1.01,broken clouds
121,Chokurdakh,RU,70.6333,147.9167,26.55,95,100,6.15,overcast clouds
122,Airai,TL,-8.9266,125.4092,59.47,82,11,2.84,few clouds
123,Ede,NL,52.0333,5.6583,58.98,77,100,9.22,overcast clouds
124,Coria,ES,39.9879,-6.5377,70.45,50,81,4.7,broken clouds
