City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Thompson,CA,2022-04-27 22:36:54,55.7435,-97.8558,46.56,27,20,12.66
233,Xingcheng,CN,2022-04-27 22:38:17,40.6167,120.7167,51.98,42,100,5.3
234,Sabalgarh,IN,2022-04-27 22:38:17,26.25,77.4,87.39,13,0,1.81
235,Kalmunai,LK,2022-04-27 22:38:18,7.4167,81.8167,79.68,81,3,6.91
236,Okakarara,NA,2022-04-27 22:38:18,-20.5833,17.4333,64.24,47,72,6.26
237,Holme,DK,2022-04-27 22:38:19,56.1138,10.1725,41.18,90,46,4.32
238,Tecolutla,MX,2022-04-27 22:38:19,20.4833,-97.0167,84.06,66,12,12.19
239,Puerto Del Rosario,ES,2022-04-27 22:38:19,28.5004,-13.8627,65.95,68,0,23.02
240,Chaman,PK,2022-04-27 22:38:20,30.9236,66.4512,75.33,18,94,4.27
241,Tautira,PF,2022-04-27 22:38:20,-17.7333,-149.15,80.08,77,51,21.81
242,Salalah,OM,2022-04-27 22:38:21,17.0151,54.0924,82.49,78,0,0.0
243,Abha,SA,2022-04-27 22:38:21,18.2164,42.5053,60.62,55,0,4.61
244,Floro,NO,2022-04-27 22:38:22,61.5996,5.0328,40.96,81,100,14.97
245,Betafo,MG,2022-04-27 22:38:22,-19.8333,46.85,57.15,97,62,4.59
246,Tecoanapa,MX,2022-04-27 22:38:23,16.5167,-98.75,85.77,61,10,10.51
247,Nanortalik,GL,2022-04-27 22:38:23,60.1432,-45.2371,39.09,87,100,8.9
248,Kaeo,NZ,2022-04-27 22:38:23,-35.1,173.7833,61.74,81,77,5.68
249,Guerrero Negro,MX,2022-04-27 22:38:24,27.9769,-114.0611,68.38,57,0,18.45
250,Lamar,US,2022-04-27 22:38:24,33.6668,-95.5836,73.31,35,75,11.5
251,Dukat,RU,2022-04-27 22:38:25,62.55,155.55,19.24,91,100,9.04
252,Matay,EG,2022-04-27 22:38:25,28.419,30.7792,71.53,26,0,12.41
253,Palasbari,IN,2022-04-27 22:38:25,26.1361,91.5486,71.29,87,5,3.36
254,Farafangana,MG,2022-04-27 22:38:26,-22.8167,47.8333,72.86,69,97,18.63
255,Fuerte Olimpo,PY,2022-04-27 22:38:26,-21.0415,-57.8738,90.99,31,31,7.11
256,Liaoyang,CN,2022-04-27 22:38:27,41.2719,123.1731,46.72,18,100,1.45
257,Tonstad,NO,2022-04-27 22:38:27,58.6626,6.7169,35.58,83,66,5.68
258,Destin,US,2022-04-27 22:36:18,30.3935,-86.4958,83.01,60,0,11.99
259,Canico,PT,2022-04-27 22:38:27,32.6333,-16.85,63.23,82,20,11.5
260,Liku,ID,2022-04-27 22:38:28,-0.7275,119.8922,76.71,92,100,3.83
261,Atasu,KZ,2022-04-27 22:38:28,48.6814,71.6433,51.24,47,2,4.09
262,Kabare,CD,2022-04-27 22:38:29,-2.4683,28.8242,61.95,99,100,1.72
263,Bathsheba,BB,2022-04-27 22:38:29,13.2167,-59.5167,77.61,94,75,12.66
264,Uchiza,PE,2022-04-27 22:38:30,-8.4592,-76.4633,74.26,93,100,2.17
265,Rochegda,RU,2022-04-27 22:38:30,62.8,43.25,14.27,96,6,2.26
266,Cayhagan,PH,2022-04-27 22:38:30,9.6697,122.4256,80.33,80,100,4.41
267,Camopi,GF,2022-04-27 22:38:31,3.1655,-52.3158,73.67,98,100,2.44
268,Gallatin,US,2022-04-27 22:38:31,45.6666,-111.2008,40.57,87,100,14.97
269,Coihueco,CL,2022-04-27 22:38:31,-36.6167,-71.8333,50.74,93,75,5.75
270,Vila Franca Do Campo,PT,2022-04-27 22:38:32,37.7167,-25.4333,67.19,94,100,18.03
271,Bela,IN,2022-04-27 22:38:32,25.9333,81.9833,85.44,12,0,3.4
272,Villa Bruzual,VE,2022-04-27 22:38:33,9.3328,-69.1208,76.78,87,100,3.36
273,Maragheh,IR,2022-04-27 22:38:33,37.3917,46.2398,56.23,74,97,1.25
274,Shubarkuduk,KZ,2022-04-27 22:38:34,49.1447,56.4872,56.64,55,100,8.75
275,Grootfontein,NA,2022-04-27 22:38:34,-19.5667,18.1167,65.77,48,54,3.44
276,Jurado,CO,2022-04-27 22:38:34,7.1053,-77.7641,79.81,85,82,5.39
277,Boa Vista,BR,2022-04-27 22:36:08,2.8197,-60.6733,76.98,78,40,3.44
278,Pecos,US,2022-04-27 22:34:44,31.4229,-103.4932,89.69,25,40,8.05
279,Ilulissat,GL,2022-04-27 22:39:35,69.2167,-51.1,42.82,52,75,12.66
280,Caxito,AO,2022-04-27 22:39:36,-8.5785,13.6643,73.99,98,100,2.06
281,Anito,PH,2022-04-27 22:39:37,12.4497,125.2886,80.13,88,80,9.22
282,Mattru,SL,2022-04-27 22:39:37,7.6244,-11.8332,77.54,89,99,1.5
283,Yulara,AU,2022-04-27 22:39:38,-25.2406,130.9889,69.64,40,100,2.3
284,Kez,RU,2022-04-27 22:39:38,57.8979,53.7152,45.54,98,100,4.47
285,Zyryanskoye,RU,2022-04-27 22:39:39,56.8306,86.6258,41.59,72,94,8.14
286,Promyshlennaya,RU,2022-04-27 22:39:39,54.9159,85.6385,40.15,62,15,5.44
287,Yima,CN,2022-04-27 22:39:40,34.7381,111.8839,49.03,88,100,1.95
288,Huarmey,PE,2022-04-27 22:39:40,-10.0681,-78.1522,68.41,84,46,9.1
289,Winnemucca,US,2022-04-27 22:39:41,40.973,-117.7357,68.05,17,0,13.8
290,Nantucket,US,2022-04-27 22:38:49,41.2835,-70.0995,55.54,56,20,21.85
291,Borogontsy,RU,2022-04-27 22:39:42,62.6683,131.1683,23.65,70,57,6.31
292,Palauig,PH,2022-04-27 22:39:42,15.435,119.9045,83.89,64,100,4.76
293,Codrington,AU,2022-04-27 22:39:43,-38.2667,141.9667,64.42,78,100,9.53
